chapters\chapter1\chapter1.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter2\part1-horizontal-sand.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter2\part2-full-well-model.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part1-3in1-design.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part1-3in1-hydraulic-model.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part1-3in1-setup-and-maintainance.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part1-3in1-verification.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part1-3in1.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part2-4in1-scraper-performance.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part2-4in1.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part3-magntictool.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part4-filter.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\chapter3\part5-variable-tool.tex | noBOM | LFonly=0 | % !TeX root = ../../main.tex
chapters\bib.tex | noBOM | LFonly=0 | % !TeX root = ../main.tex
main.tex | noBOM | LFonly=0 | \documentclass[12pt, a4paper, zihao=-4, openright]{ctexrep}
